id,runner_name,handicap,market_id
29167,Cincinnati Reds,0.0,1.215533586
29157,Baltimore Orioles,0.0,1.215533586
29172,Milwaukee Brewers,0.0,1.215533724
29174,New York Mets,0.0,1.215533724
29160,Minnesota Twins,0.0,1.215533632
7100960,Atlanta Braves,0.0,1.215533632
29159,Detroit Tigers,0.0,1.215533678
29163,Texas Rangers,0.0,1.215533678
5408012,Chicago White Sox,0.0,1.215533770
1093236,Los Angeles Angels,0.0,1.215533770
1033687,Washington Nationals,0.0,1.215535586
7100968,Seattle Mariners,0.0,1.215535586
29177,San Diego Padres,0.0,1.216054073
29175,Philadelphia Phillies,0.0,1.216054073
6266193,Miami Marlins,0.0,1.216054349
29178,San Francisco Giants,0.0,1.216053935
29176,Pittsburgh Pirates,0.0,1.216053935
29171,Los Angeles Dodgers,0.0,1.216054027
29158,Boston Red Sox,0.0,1.216054575
29166,Chicago Cubs,0.0,1.216054575
41541473,Cleveland Guardians,0.0,1.216054211
29162,Tampa Bay Rays,0.0,1.216053981
29179,Kansas City Royals,0.0,1.216053981
29161,New York Yankees,0.0,1.216054257
29168,Colorado Rockies,0.0,1.216054257
29170,Houston Astros,0.0,1.216054119
29165,Arizona Diamondbacks,0.0,1.216084194
29164,Toronto Blue Jays,0.0,1.216084194
7100972,Oakland Athletics,0.0,1.216100291
50291,St. Louis Cardinals,0.0,1.216100337
29171,Los Angeles Dodgers,0.0,1.216143243
29157,Baltimore Orioles,0.0,1.216143243
41541473,Cleveland Guardians,0.0,1.216153680
29176,Pittsburgh Pirates,0.0,1.216153680
29178,San Francisco Giants,0.0,1.216143197
29167,Cincinnati Reds,0.0,1.216143197
6266193,Miami Marlins,0.0,1.216142999
50291,St. Louis Cardinals,0.0,1.216142999
1033687,Washington Nationals,0.0,1.216142939
29166,Chicago Cubs,0.0,1.216142939
29162,Tampa Bay Rays,0.0,1.216143061
29163,Texas Rangers,0.0,1.216143061
29159,Detroit Tigers,0.0,1.216143336
29179,Kansas City Royals,0.0,1.216143336
29161,New York Yankees,0.0,1.216143384
1093236,Los Angeles Angels,0.0,1.216143384
29158,Boston Red Sox,0.0,1.216153728
7100972,Oakland Athletics,0.0,1.216153728
29160,Minnesota Twins,0.0,1.216143289
7100968,Seattle Mariners,0.0,1.216143289
29172,Milwaukee Brewers,0.0,1.216170812
29175,Philadelphia Phillies,0.0,1.216170812
29171,Los Angeles Dodgers,0.0,1.216170628
29157,Baltimore Orioles,0.0,1.216170628
41541473,Cleveland Guardians,0.0,1.216173007
29176,Pittsburgh Pirates,0.0,1.216173007
29177,San Diego Padres,0.0,1.216170674
29164,Toronto Blue Jays,0.0,1.216170674
29178,San Francisco Giants,0.0,1.216170858
29167,Cincinnati Reds,0.0,1.216170858
5408012,Chicago White Sox,0.0,1.216170361
29174,New York Mets,0.0,1.216170361
29165,Arizona Diamondbacks,0.0,1.216170720
7100960,Atlanta Braves,0.0,1.216170720
6266193,Miami Marlins,0.0,1.216173334
50291,St. Louis Cardinals,0.0,1.216173334
1033687,Washington Nationals,0.0,1.216170766
29166,Chicago Cubs,0.0,1.216170766
29162,Tampa Bay Rays,0.0,1.216170407
29163,Texas Rangers,0.0,1.216170407
29159,Detroit Tigers,0.0,1.216170490
29179,Kansas City Royals,0.0,1.216170490
29170,Houston Astros,0.0,1.216173271
29168,Colorado Rockies,0.0,1.216173271
29161,New York Yankees,0.0,1.216170536
1093236,Los Angeles Angels,0.0,1.216170536
29160,Minnesota Twins,0.0,1.216170582
7100968,Seattle Mariners,0.0,1.216170582
29158,Boston Red Sox,0.0,1.216173157
7100972,Oakland Athletics,0.0,1.216173157
7100960,Atlanta Braves,0.0,1.226106123
29157,Baltimore Orioles,0.0,1.226106123
29170,Houston Astros,0.0,1.226106130
29174,New York Mets,0.0,1.226106130
29174,New York Mets,0.0,1.226143658
50291,St. Louis Cardinals,0.0,1.226143658
29161,New York Yankees,0.0,1.226143659
29159,Detroit Tigers,0.0,1.226143659
29162,Tampa Bay Rays,0.0,1.226143661
7100960,Atlanta Braves,0.0,1.226143661
29164,Toronto Blue Jays,0.0,1.226143662
29160,Minnesota Twins,0.0,1.226143662
29158,Boston Red Sox,0.0,1.226143651
29175,Philadelphia Phillies,0.0,1.226143651
29157,Baltimore Orioles,0.0,1.226143650
29176,Pittsburgh Pirates,0.0,1.226143650
1093236,Los Angeles Angels,0.0,1.226143656
5408012,Chicago White Sox,0.0,1.226143656
7100972,Oakland Athletics,0.0,1.226143660
29166,Chicago Cubs,0.0,1.226143660
29168,Colorado Rockies,0.0,1.226143653
41541473,Cleveland Guardians,0.0,1.226143653
29179,Kansas City Royals,0.0,1.226143655
29165,Arizona Diamondbacks,0.0,1.226143655
29172,Milwaukee Brewers,0.0,1.226143657
7100968,Seattle Mariners,0.0,1.226143657
29170,Houston Astros,0.0,1.226143654
1033687,Washington Nationals,0.0,1.226143654
29167,Cincinnati Reds,0.0,1.226143652
29163,Texas Rangers,0.0,1.226143652
29171,Los Angeles Dodgers,0.0,1.226172538
29177,San Diego Padres,0.0,1.226172538
29159,Detroit Tigers,0.0,1.226404378
29160,Minnesota Twins,0.0,1.226404378
29164,Toronto Blue Jays,0.0,1.226404379
7100960,Atlanta Braves,0.0,1.226404379
29174,New York Mets,0.0,1.226404375
6266193,Miami Marlins,0.0,1.226404375
29166,Chicago Cubs,0.0,1.226404377
7100972,Oakland Athletics,0.0,1.226404377
29168,Colorado Rockies,0.0,1.226404373
29165,Arizona Diamondbacks,0.0,1.226404373
50291,St. Louis Cardinals,0.0,1.226404376
1033687,Washington Nationals,0.0,1.226404376
29175,Philadelphia Phillies,0.0,1.226404374
29157,Baltimore Orioles,0.0,1.226404374
29176,Pittsburgh Pirates,0.0,1.226404380
29161,New York Yankees,0.0,1.226404380
29177,San Diego Padres,0.0,1.226417314
29171,Los Angeles Dodgers,0.0,1.226417314
29170,Houston Astros,0.0,1.226453174
50291,St. Louis Cardinals,0.0,1.226453174
